MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Abilene, TX M.S.A.",412.5,5.3,56.0,78.4,272.8,"3,609.0",852.0,"2,493.6",263.4,TX,Abilene
"Akron, OH M.S.A.",238.4,5.1,38.2,75.2,119.8,"2,552.4",575.3,"1,853.0",124.1,OH,Akron
"Albany, GA M.S.A.",667.9,7.8,30.4,157.9,471.8,"3,894.1","1,099.6","2,652.8",141.7,GA,Albany
"Albany, OR M.S.A.",114.3,2.5,28.2,20.7,63.0,"3,208.4",484.6,"2,476.1",247.7,OR,Albany
"Albuquerque, NM M.S.A.",792.6,6.1,63.8,206.7,516.0,"4,607.8",883.4,"3,047.6",676.9,NM,Albuquerque
"Alexandria, LA M.S.A.",936.4,4.5,35.5,120.1,776.3,"4,565.9","1,167.0","3,083.7",315.2,LA,Alexandria
"Altoona, PA M.S.A.",216.5,0.8,28.7,25.5,161.6,"1,430.2",218.9,"1,163.6",47.8,PA,Altoona
"Amarillo, TX M.S.A.",538.7,3.4,72.0,107.1,356.1,"3,827.4",763.2,"2,743.2",321.0,TX,Amarillo
"Ames, IA M.S.A.",158.5,1.0,47.2,19.9,90.3,"1,848.3",311.7,"1,462.0",74.5,IA,Ames
"Anchorage, AK M.S.A.","1,039.5",8.2,165.6,199.1,666.6,"4,030.1",554.9,"3,087.5",387.7,AK,Anchorage
"Ann Arbor, MI M.S.A.",319.5,1.9,57.0,51.4,209.2,"1,791.9",290.4,"1,417.4",84.2,MI,Ann Arbor
"Anniston-Oxford-Jacksonville, AL M.S.A.",699.3,8.7,53.9,86.0,550.7,"3,295.8","1,012.9","2,160.4",122.5,AL,Oxford
"Appleton, WI M.S.A.",138.8,0.4,24.1,8.6,105.7,"1,394.9",206.6,"1,154.7",33.5,WI,Appleton
"Asheville, NC M.S.A.",202.0,2.7,19.5,50.2,129.7,"2,158.8",592.6,"1,436.6",129.7,NC,Asheville
"Athens-Clarke County, GA M.S.A.",325.7,2.5,41.3,67.7,214.2,"3,105.5",675.4,"2,272.7",157.4,GA,Athens
